L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | New game starting up
L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | Target game image size:  1280x720

L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | The following frame rates are considered possible:
L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | 30 fps
L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | 60 fps
L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | 120 fps
L4 | Wed Feb  6 09:19:24 2019 (719 ms) | general | 144 fps
L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general | Current screen configuration is 800x600 with aspect ratio 1.33
L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general | Sticking with user's current screen resolution
L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general | Checking if requested video mode (800x600) is available
L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general | Available video modes:
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    2560 x 1600

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1920 x 1440

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1920 x 1200

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1856 x 1392

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1792 x 1344

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1680 x 1050

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1600 x 1200

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1440 x 900

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1400 x 1050

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1360 x 768

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1280 x 1024

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1280 x 960

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1280 x 800

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1280 x 768

L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1152 x 864

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    1024 x 768

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    800 x 600

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    640 x 480

L4 | Wed Feb  6 09:19:24 2019 (720 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Feb  6 09:19:24 2019 (827 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Feb  6 09:19:28 2019 (371 ms) | general | Measured frame rate = 554.148586 fps

L4 | Wed Feb  6 09:19:28 2019 (371 ms) | general | Closest possible frame rate = 144 fps

L4 | Wed Feb  6 09:19:28 2019 (371 ms) | general | Vsync to enforce closested frame rate of 144 fps doesn't seem to be in effect.

L4 | Wed Feb  6 09:19:28 2019 (371 ms) | general | Will sleep each frame to enforce desired frame rate of 60 fps

L4 | Wed Feb  6 09:19:34 2019 (373 ms) | general | exiting...

L4 | Wed Feb  6 09:19:34 2019 (373 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Feb  6 09:19:34 2019 (608 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Feb  6 09:19:34 2019 (608 ms) | general | Freeing sound sprites

L4 | Wed Feb  6 09:19:34 2019 (608 ms) | general | exiting: Deleting screen

L4 | Wed Feb  6 09:19:34 2019 (608 ms) | general | exiting: freeing drawString

L4 | Wed Feb  6 09:19:34 2019 (609 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Feb  6 09:19:34 2019 (623 ms) | general | exiting: Done.

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | New game starting up
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | Target game image size:  1280x720

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | Ideal window dimensions:  1280x720

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | Trying to start in fullscreen mode.
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | The following frame rates are considered possible:
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | 30 fps
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | 60 fps
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | 120 fps
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | 144 fps
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | Current screen configuration is 800x600 with aspect ratio 1.33
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | Sticking with user's current screen resolution
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general | Checking if requested video mode (800x600) is available
